x,n,error(log10)
0.2578125,64,-1.57535149980643315336e2
0.2578125,128,-3.16511081882572608082e2
0.2578125,256,-6.34461372463721288299e2
0.2578125,512,-1.23237940661923222112e3
0.26171875,16,-3.81173046558548187358e1
0.26171875,32,-7.76790335678308537827e1
0.26171875,64,-1.56796180748223137161e2
0.26171875,128,-3.15027320167924248433e2
0.26171875,256,-6.31488021584089384370e2
0.26171875,512,-inf
0.265625,16,-3.79398625214398096456e1
0.265625,32,-7.73184461636990581724e1
0.265625,64,-1.56069285999518027241e2
0.265625,128,-3.13567802343453512201e2
0.265625,256,-6.28563253416768347062e2
0.265625,512,-1.23269200497432063903e3
0.26953125,16,-3.77652805367388895791e1
0.26953125,32,-7.69636711118895152109e1
0.26953125,64,-1.55354108044937429743e2
0.26953125,128,-3.12131810215015277836e2
0.26953125,256,-6.25685628758448807504e2
0.26953125,512,-1.23252155829830524624e3
0.2734375,16,-3.75934751689263803648e1
0.2734375,32,-7.66145386539860094488e1
0.2734375,64,-1.54650304674665183535e2
0.2734375,128,-3.10718656669884252011e2
0.2734375,256,-6.22853770690532611668e2
0.2734375,512,-1.23270320470751349769e3
0.27734375,16,-3.74243664492152656697e1
0.27734375,32,-7.62708862745983754883e1
0.27734375,64,-1.53957548279888014116e2
0.27734375,128,-3.09327683912292727953e2
0.27734375,256,-6.20066361043289104894e2
0.27734375,512,-1.23253258174397198613e3
0.28125,16,-3.72578777733568223145e1
0.28125,32,-7.59325582959265415705e1
0.28125,64,-1.53275525035488375618e2
0.28125,128,-3.07958261822381011266e2
0.28125,256,-6.17322137107320718863e2
0.28125,512,-1.23271405691363518628e3
0.28515625,16,-3.70939357159015609778e1
0.28515625,32,-7.55994055002911005960e1
0.28515625,64,-1.52603934139114256744e2
0.28515625,128,-3.06609786428345682908e2
0.28515625,256,-6.14619888571868142256e2
0.28515625,512,-1.23062945369510219998e3
0.2890625,16,-3.69324698570979560355e1
0.2890625,32,-7.52712847783471255695e1
0.2890625,64,-1.51942487102023142116e2
0.2890625,128,-3.05281678482543839742e2
0.2890625,256,-6.11958454671435113424e2
0.2890625,512,-1.22531120382668264359e3
0.29296875,16,-3.67734126214110236773e1
0.29296875,32,-7.49480588009125110363e1
0.29296875,64,-1.51290907087529855437e2
0.29296875,128,-3.03973382133179928763e2
0.29296875,256,-6.09336721523953230540e2
0.29296875,512,-1.22006259496313536798e3
0.296875,16,-3.66166991267371980527e1
0.296875,32,-7.46295957125339481558e1
0.296875,64,-1.50648928293274707907e2
0.296875,128,-3.02684363683978229975e2
0.296875,256,-6.06753619645263097327e2
0.296875,512,-1.21489132416592028392e3
0.30078125,16,-3.64622670434764735511e1
0.30078125,32,-7.43157688450854041582e1
0.30078125,64,-1.50016295373874627895e2
0.30078125,128,-3.01414110434939274494e2
0.30078125,256,-6.04208121626081311998e2
0.30078125,512,-1.20979533455127053734e3
0.3046875,16,-3.63100564626985740369e1
0.3046875,32,-7.40064564498480072891e1
0.3046875,64,-1.49392762900830453543e2
0.3046875,128,-3.00162129597901940644e2
0.3046875,256,-6.01699239958872164446e2
0.3046875,512,-1.20477264917287543750e3
0.30859375,16,-3.61600097727079774817e1
0.30859375,32,-7.37015414466585693145e1
0.30859375,64,-1.48778094856842427630e2
0.30859375,128,-2.98927947281192881895e2
0.30859375,256,-5.99226025003164924502e2
0.30859375,512,-1.19982136689264438701e3
0.3125,16,-3.60120715433738416183e1
0.3125,32,-7.34009111888383867702e1
0.3125,64,-1.48172064161936726991e2
0.3125,128,-2.97711107538148501147e2
0.3125,256,-5.96787563078866700238e2
0.3125,512,-1.19493965856360103337e3
0.31640625,16,-3.58661884176460089761e1
0.31640625,32,-7.31044572427260060874e1
0.31640625,64,-1.47574452229031725145e2
0.31640625,128,-2.96511171474748197102e2
0.31640625,256,-5.94382974678029646181e2
0.31640625,512,-1.19012576344991839794e3
0.3203125,16,-3.57223090097279899476e1
0.3203125,32,-7.28120751807386821794e1
0.3203125,64,-1.46985048546776379610e2
0.3203125,128,-2.95327716412006597903e2
0.3203125,256,-5.92011412786350884051e2
0.3203125,512,-1.18537798586663416822e3
0.32421875,16,-3.55803838094227208893e1
0.32421875,32,-7.25236643869785051167e1
0.32421875,64,-1.46403650287677073746e2
0.32421875,128,-2.94160335099141822383e2
0.32421875,256,-5.89672061306423597361e2
0.32421875,512,-1.18069469202306745636e3
0.328125,16,-3.54403650922074904887e1
0.328125,32,-7.22391278744816715289e1
0.328125,64,-1.45830061939695556589e2
0.328125,128,-2.93008634973870745985e2
0.328125,256,-5.87364133575426944126e2
0.328125,512,-1.17607430705529800275e3
0.33203125,16,-3.53022068346311799918e1
0.33203125,32,-7.19583721132840676560e1
0.33203125,64,-1.45264094959651190238e2
0.33203125,128,-2.91872237466484566215e2
0.33203125,256,-5.85086870970548253155e2
0.33203125,512,-1.17151531223428163138e3
0.3359375,16,-3.51658646346602760580e1
0.3359375,32,-7.16813068685440319325e1
0.3359375,64,-1.44705567446897190916e2
0.3359375,128,-2.90750777344631990205e2
0.3359375,256,-5.82839541595980099388e2
0.3359375,512,-1.16701624233727509808e3
0.33984375,16,-3.50312956366303468618e1
0.33984375,32,-7.14078450480246039122e1
0.33984375,64,-1.44154303835864402873e2
0.33984375,128,-2.89643902095986048287e2
0.33984375,256,-5.80621439045833191684e2
0.33984375,512,-1.16257568317124112420e3
0.34375,16,-3.48984584604871395694e1
0.34375,32,-7.11379025582933874080e1
0.34375,64,-1.43610134606178672497e2
0.34375,128,-2.88551271346196479915e2
0.34375,256,-5.78431881237758777299e2
0.34375,512,-1.15819226923781083563e3
0.34765625,16,-3.47673131350264416315e1
0.34765625,32,-7.08713981690489302909e1
0.34765625,64,-1.43072896009160245083e2
0.34765625,128,-2.87472556309735154389e2
0.34765625,256,-5.76270209312486105528e2
0.34765625,512,-1.15386468153020530984e3
0.3515625,16,-3.46378210348645991923e1
0.3515625,32,-7.06082533850287590046e1
0.3515625,64,-1.42542429809606811813e2
0.3515625,128,-2.86407439271429132932e2
0.3515625,256,-5.74135786594855515088e2
0.3515625,512,-1.14959164545326871134e3
0.35546875,16,-3.45099448208923254419e1
0.35546875,32,-7.03483923249963539284e1
0.35546875,64,-1.42018583041846799691e2
0.35546875,128,-2.85355613096646578092e2
0.35546875,256,-5.72027997612269577588e2
0.35546875,512,-1.14537192885844990098e3
0.359375,16,-3.43836483839833578094e1
0.359375,32,-7.00917416073428143689e1
0.359375,64,-1.41501207779127032974e2
0.359375,128,-2.84316780768256398513e2
0.359375,256,-5.69946247166796704234e2
0.359375,512,-1.14120434018619396403e3
0.36328125,16,-3.42588967917468119483e1
0.36328125,32,-6.98382302418740977907e1
0.36328125,64,-1.40990160915469724024e2
0.36328125,128,-2.83290654948624733625e2
0.36328125,256,-5.67889959457446613503e2
0.36328125,512,-1.13708772670877564155e3
0.3671875,16,-3.41356562381278901163e1
0.3671875,32,-6.95877895273868471766e1
0.3671875,64,-1.40485303959198520033e2
0.3671875,128,-2.82276957565041429855e2
0.3671875,256,-5.65858577249397661685e2
0.3671875,512,-1.13302097286712836724e3
0.37109375,16,-3.40138939956760726888e1
0.37109375,32,-6.93403529546652294940e1
0.37109375,64,-1.39986502837392617087e2
0.37109375,128,-2.81275419417088696747e2
0.37109375,256,-5.63851561087194578580e2
0.37109375,512,-1.12900299869570016005e3
0.375,16,-3.38935783703131803363e1
0.375,32,-6.90958561145581535310e1
0.375,64,-1.39493627710582271266e2
0.375,128,-2.80285779804573195624e2
0.375,256,-5.61868388549153706784e2
0.375,512,-1.12503275832980516243e3
0.37890625,16,-3.37746786584458539148e1
0.37890625,32,-6.88542366108209466400e1
0.37890625,64,-1.39006552797048851323e2
0.37890625,128,-2.79307786174742835267e2
0.37890625,256,-5.59908553540413278949e2
0.37890625,512,-1.12110923859034087858e3
0.3828125,16,-3.36571651062781608456e1
0.3828125,32,-6.86154339774282534405e1
0.3828125,64,-1.38525156206138304508e2
0.3828125,128,-2.78341193787601363272e2
0.3828125,256,-5.57971565622250255847e2
0.3828125,512,-1.11723145764110950373e3
0.38671875,16,-3.35410088711902918781e1
0.38671875,32,-6.83793896000857605708e1
0.38671875,64,-1.38049319780038920040e2
0.38671875,128,-2.77385765398218198362e2
0.38671875,256,-5.56056949375454292064e2
0.38671875,512,-1.11339846371432015446e3
0.390625,16,-3.34261819850587426405e1
0.390625,32,-6.81460466416875168158e1
0.390625,64,-1.37578928943512909382e2
0.390625,128,-2.76441270955008522477e2
